score(/3)	tweet_Id	tweet_text
3	848198082374373377	ايه ده ي ابو الاجناش 😂😂😂😂😂😂😂😂😂😂😂
3	848198084110811137	يعني خلاص الشتا خلص و هندخل في الحر و التلزيق و  مش هلبس اللبس اللي مرمي في الدولاب و ملبستوش ده
2	848198084790288386	RT @NouR231323337: قد يأتيك الابتلاء علي هيئة كليه كئيبة معقدة و انت اساساً انسان هايف بيحب الضحك و ملكش في الكلام ده
3	848198085734006784	مكي ده كان ف الزمالك مبيلعبش ب ٢ جنيه و الله
3	848198085788487680	RT @Heathens145: لما تقرر الانتحار و حتي لو رميت نفسك ف البحر هتلاقي نفسك بتقاوم الموت عشان انت مش عاوز تموتي عاوز الي جواك هو الي يموت ...
3	848198086115590144	زي النهاردة :) وكنت فاكر اني مش هخلص ... عدت سنة كمان :) و عرفت فيهم ناس متتعوضش...صحبة حلوووة  و اعتز بمعرفتي... https://t.co/cdzN1McEg0
3	848198086522527745	RT @mostafa03021903: مفيش قلب احن عليك من قلب امك وابوك ولا في حد يخاف عليك قدهم ولا هتلاقي دعوة من القلب غير منهم ❤️❤ ربنا ييعد عنهم كل سؤ…
3	848198086648360960	حد يكدب عليا كدبة أبريل وانا مستعدة اسامحه 😜
3	848198086891581440	RT @tersawy20: لما يعدي ابو حد من صحابنا احنا 👇😂✋ https://t.co/JfpYN3ytB4
3	848198087961194496	هوب هوب 😂😂 ايه الجون ده ! 😅
3	848198088770695174	انا زي الدنيا مابمشيش ع مزاج حد
3	848198090209316864	انا راضية عن نفسي مليون بالمية مش رح استنا حد يجي يحكيلي رأيو فيا 🙋
2	848198090670710788	@osman_h1 بعدين انا عايزه افهم سبب رفضك للقانون شنو يعني لي مضايقك
3	848198091396325376	RT @Cendrillionz: خش عليا ب شهر 4 يمكن الأمل فيه https://t.co/Uk0BHVmBBF
3	848198092222595073	ايه الخرا ده
3	848198093191487488	بووووووف 😕😕😕😕😣 ابو الفتوح ده زفت
3	848198093870911488	احا على ده هدف بتاع سموحة
3	848198094227333120	يالهوي يا مكي ايه يا جنش ده 😂😂😂
3	848198095011753984	RT @alonelysoul__: ولاه ولاه بص شوف مين جنبك https://t.co/7mCLjc1Epi
3	848198095628374018	RT @sarahamadah_sa: المسأله دي عايزه تدخل جراحي
3	848198095984877569	RT @tersawy20: الاعلان دا فرتك جبهة البنات خالص يا جدع 😂😂😂✋ https://t.co/VsSIMHNaWN
3	848198096785952768	ايه الجول ده !!
3	848198097482252289	RT @_maha_3ziz: إنت مش بس تستاهل تتحب
3	848198097494835203	@nohamansour97 عاوز نعمل laboratory report لاي دوا  او quietly control report لاي ماده او دوا  والسلام عليكم ورحمه الله وبركاته 😂🏃🏻🏃🏻
3	848198097150889984	RT @AhmedHussiieen: احا مكي ده ولا ده النت
3	848198098811748353	@mohamedaimn1 كلهم زي الخرا بس في منهم أمل إلا المتخلف ده
3	848198098669142017	RT @AmanyShaban9: سيم انا عماله اركز ومش فاهمه هو مدينا ظهره طب وايده جت الناحيه التانيه ازاي وهو اللي بيغرق ده ولا مين😂😂😂😂 https://t.co/SW…
3	848198099172569088	في ناس أقسم بالله محتاجه أقولها أنتوا مش محتاجين شهر أبريل يجي علشان تكدبوا
3	848198101735223296	@drrashasamir @elbashmohndsa2 بس كان عندي سؤال سريع مزنوق فيه بصراحة عن الرواية😂😂😂 لو مش هعطل حضرتك طبعاً
3	848198101835935744	الكورة حالفة ما تدخلش و مش عارف كوستا عايز ايه تاني عشان يجيب جول بصراحة
3	848198103048040448	RT @weesh11: ايه ده بتبوس ايدي !! هو انا ولدتك 🙆😂😂😂 https://t.co/7TX6a5ImNV
3	848198102335070208	اية الجون دا 😂😂😂😂💙
3	848198103190700033	RT @SoofeCat: وانا مش هحكي عليك ده لأنك  يا صغير انا اكبر منك 😉👌
3	848198105476595713	وهو لما تظلم الناس بالطريقه دي عشان ال system بتاع حضرتك اللي زي زفت انت فاكر كده انك هتاخد الجوده يعني؟؟
3	848198105090621444	RT @_true_illusion: حاول ماتبقاش عبئ علي أهلك علي أد ماتقدر  الأيام دي الظروف صعبة جداً 
3	848198106462146561	اديني يارب الرضا الكافي عشان اعرف اكمل في سلام 🙌
3	848198106239946753	RT @NouR231323337: مين دي ؟! دي واحده مكملتش ٥٠ كيلو و كل شويه تقولي انا وزني زاد و انا خلقي ضيق. https://t.co/LdAGraolys
2	848198107141689344	RT @i_7md: ياليت وزارة التجارة تصادر كل المرايات اللي ماتعطيك شكلك وجسمك الحقيقي ... كفاية نصب واحتيال وضحك على الذقون!
3	848198108018335745	الشروق النهارده هيكون فى ميامى الجو قمة الروعه جيلك يا احمدفهمى
2	848198109469585408	@aziz_alhelali البعض مو بس بينغزه
3	848198109620514817	ايه الجون دا يا مكي 😂😂
3	848198109012385796	@Bebooooooo97 ايه يا هبه ده احنا سكاشن وامتحانات وفاينال 😂 وال id ورا بعض 😂 https://t.co/mdinQlKgn7
3	848198112241909760	_حاول تحب الموت علشان ده الوحيد الي من نصيبـگك 😊🌸❤
3	848198112594321409	انا عندي ملل واكتئاب كفاية وممكن أصدرهم كمان ومش ناقص الماتش ده يكمل عليا
3	848198113592569856	ترم ممل وامتحانات امل  وماتش الزمالك كمان ممل  فينك يا ريال تفرفشنا شويه بدل الملل دا
3	848198114104270848	RT @3mrelbadryy: هو انت في حد ف حياتك..!؟  طب بذمتِك دة منظر حيااه ادخل فيها حد..!
3	848198115186405377	- خلِيك مقتنِع إن مفيش حاجة مكتوبالَك هتروح منك .. ✋❤
3	848198115656159233	ابو الاجنش مكى عايز يركبلو شبكه فى رجلو
3	848198116696305664	ايه الجون دة ياسموحة بس ! 😎
3	848198116826370048	@Rebo40294061 امال لو شوفتيعا دلوقتي هتقولي اية 😂😂👏👏
3	848198116658511876	انا بجد اكتشفت ان العلاقه اللي فيها لا مبالاه دي اكتر علاقه بتنجح .. اللي" هو مش لازم " ✋😉
3	848198117342269440	هو مين اللي اتفرش ده 😂😂😂
3	848198117442891776	RT @NouR92693443: لما يختارني انا من وسط الناس كلها 💖 علشان اكون جنبه وقت وجعه وتعبه💔 بحس انه ابني💗🙈
3	848198117270925313	@selimazouz1 اعتبروا بدر محمد بدر اخينا بتاع تمرد او بتاع نقابة الصحفيين الي تعاطفتوا معاه وعملتوا نفسكم صحفيين وحرية لا حدود لها لحد السماء
3	848198120659972096	@MayadaHefny95 لأ منا عارفاها😂 بس برضو متتقارنش بالDS متحوليش👋😂
3	848198121544929280	RT @mahmoudheepa: متلومش حد علي حاجة مشاكلك وحزنك خاصين بيك  انته السبب في كل اللي انته فيه !!
3	848198121196802048	اتمنى النهارده مكنش يبقى موجوود عشان وحش ورجعنا زهفنين https://t.co/nYwfCjPCwc
3	848198122056634369	ولا مؤمن سليمان كان كده  ولا مكي ده كان كده  سبحان الله لعنة ليوم الدين
