score(/3)	tweet_Id	tweet_text
3	857999275653038084	كلمات اخوكم راشي ياسين لي عندهم الغيره فالقلب علي المولوديه غادي يفهموني في الصور كءوس و ميداليات الفريق
3	857999366614855681	@anwarmalek كون لقاو الخير فالجزائر ماكانوش اصلا غادي اهاجروها
2	857999397254299650	RT @RanOoshQu: الاكعب من انك تبطل تحب زول انك تفضل معاهو وهو حاسي بي كده أدب النهايات ..... يستركم  ربنا
2	857999496629846017	@t8v_g ارحبي انتي ي مرحبا بش
3	857999566628687873	يتحدثون عن تسليم المشعل للشباب ثم يرفضون تسليمهم حتى الميكروفون   شكون هوما ؟
2	857999609976827908	RT @_llM76: @N3S___ https://t.co/PoGjXnqa4T يحيج ماشي ع هالنظام انتي+ يريعه منج😂😂😂
3	858000267299696640	RT @TajMaroc: @dora22danya @illy_ylli @salmaboujidi شكرا اختي الغزالة من طيب أصلك ربي يخليك لواليديك هذا من طيب اصلك انتوما اللي… 
3	858000275973570561	@Abdel_72 @FLqadiri ديال الكصبة تيكون حمر واقيلا
3	858000483142832128	شحال زوين تنعس وتفيق وتلقى شتيوة😍والجو بارد💙ياسلاااااام😌😍
3	858000595348803585	@Maroc_Telecom السلام.  أنا طالب تسرق ليا التيليفون ديالي  شحال من رتويت و ترجعو ليا النمرة ديالي فابور؟ شكرا.
2	858000616152498176	@pinky_salmaaa علي فكره عندو طرحه ترتر ترتر وجزمه ومطبقه شامو بتلبسوا معاهو خرافين.. بجي في اي زول الحال وحده حبيببا
2	858000730233462786	RT @Hatemach: بالله هاك الأئمة اللي حفظو بعض السور ويرتلو فيها والمستوى متاعهم سنة روضة فراشة هاكم  مش يفسرولي ديني؟ يجعلهم... https://t.co…
2	858000776521764866	RT @3ouqh: غادي حالي ماعاده بذاك اللي تبي    أتصبر   بس الاخلاق قدهي شاينه.
3	858000855131443201	@LeFettouch من كل فن طرف ا ساط  الشهر جاي تقدر تلقاني قلبت ع الراب كومبليتلي
2	858000869979283456	@HanoufMohammad @CitizensBut الجوازات يبغالهم شكوى للملك.عاثو  في النساء عووث الله لايوفقهم؟تدرين ان حتى اخوك مايقد… https://t.co/SKvgUqzRa2
3	858001105258782720	RT @Sofi_loka2: #إحساسك_قبل_الفاينل غير الخير 😌غير الخييير 🎺🎸دايره فيها والي شرررر 🎹🎶خاسر جيبي صحتي وكتررر 🎶🎼 لوكان جاخيري يهدررر 📀🎧🎵يقولي…
3	858001115241222146	@iHibo غاع هكذاك كل حاجة بوقتها
3	858001151685427200	@Medi1TV الله يكون في عونهم اذا كان الحال عما هو عليه دابا اش غادي يكون حالهم من بعد في رمضان 🤔🤔🤔
3	858001365347577856	@karimOUTTA واخا غير نريقو معاك أ ساط 😂
3	858001398516129792	@GNagib بص غدوة من ماك و كفا الله المؤمنين شر القتال 😂😂
3	858001549624315904	وا سير نتا وجد للراطراباج باش تفاليدي https://t.co/yiroNv2lT5
3	858001658151874560	المستفيدات الوحيدات من هاد الفضيحة الجنسية و الاخلاقية هوما الطاليبات لي ماڤاليدو حتٌا قلوة هههههههه
3	858001682050850816	علاش كلهم رد عليهم راموس أمس إلا أني؟  😢
3	858001726762344449	@Nina19950121 داك شي لي درت كلست و اتاي 😂
3	858001860145291265	@Sarcastwitta @Drizzmann دابا يطوال و يعجبك أبنتي
3	858002101703782401	بغيتي رجيلاتك يوليوا رطيطبين وورديين بحال دراري الصغار؟؟ أجي نوريك كيفاش https://t.co/K7sTDadUJv
2	858002171324977152	فيديو كليب انشودة رائعة  بعنوان صلاتي لابن مدينة الفقيه بن صالح  المنشد عادل فالصراحة فيديو زوين تبارك الله عليه... https://t.co/o3DJ8K7I20
2	858002278661459968	@OjlyAl باهي الي درتا عشان نضتي
3	858002321736953858	@karimOUTTA شربحتي بعدا ؟ ياكما دوك الكيسان أو الطباسل ديال الغلايق ؟ إيديرو زوين لا عطاوك مولادا فابور فالصيف كامل @CocaCola_Maroc
3	858002367861723136	@RAhik081 @Dz_quote  علاش ماتعومش توصل للبير ماتشربش
3	858002375944142848	ناس لطيفه بدون اجنده.... علاش حاسب نفسك المشير طنطاوي
3	858002439991066624	@Nina19950121 بااز 😒 فطرت و تغديت و دبا اتاي 👀✋🏻
3	858002519036964865	@meryemwac37 مبقاش عندنا ماتش معاهم ياك ؟ باقا ليهم الراجا فآخر ماتش واقيلا هههه
3	857999269973852162	شوفوا هاد لاعب المحترم علاش خدا حمرة: https://t.co/GwtWioIvU8 via @YouTube
3	857999275653038084	كلمات أخوكم راشي ياسين (لي عندهم الغيرة  فالقلب على المولودية غادي يفهموني).  في الصور كؤوس و ميداليات الفريق... https://t.co/B4iZJ6Pibr
3	857999366614855681	كون لقاو الخير فالجزاءر ماكانوش اصلا غادي اهاجروها
2	857999490531328000	قلبي نحر قسّيس واشواقي صليب  ما يكتمل دين الغرام الا معاك ٰ قولي لغرورك لا يشك ويستريب هاك العمر ماعندي اغلا منّه هاك
2	857999496629846017	ارحبي انتي ي مرحبا بش
3	857999566628687873	يتحدثون عن تسليم المشعل للشباب ثم يرفضون تسليمهم حتي الميكروفون شكون هوما
3	857999828445536256	الملك تقلق" من مغربية وضعت رسالة في جيب قميصه في أمريكا " السعاية والريع فالدم واخا يطلعو تا للقمر تفو!
3	857999955545513984	RT @H_A_thamer_87: هاك اقره يل تقره الورد شاطرچنت بقرايته اقراني واحدمختنك ضاگت بعينه ولايته مشتاگلك لكن هلك يستكثرون حجايته ضليت اگلب… 
2	858000236408647682	RT @AsCom123: تعال هاك الخفوق الصعب وإحتله الشوق حده وصل وتقول لي بدري  وصلت للي عجز أي شخص يوصله ولا فيه غيرك بقى في خاطري يطري❤
2	858000243819982849	@ajmubasher باهي ومن مارس ذلك في تسعت حروب وتحت راية الصليب ماذا نقول عنه
3	858000267299696640	شكرا اختي الغزاله من طيب اصلك ربي يخليك لواليديك هذا من طيب اصلك انتوما اللي
2	858000270223175680	هاو هاو كل يوم عمال تحلو
3	858000275973570561	ديال الكصبه تيكون حمر واقيلا
2	858000378608185344	مسا الورد يا ورده   مسا النور يا شمعه الجلاس   مسا الشوق والاشتياق   مساكم بش بش 💘🙄
3	858000483142832128	شحال زوين تنعس وتفيق وتلقي شتيوه والجو بارد ياسلام
3	858000595348803585	السلام انا طالب تسرق ليا التيليفون ديالي شحال من رتويت و ترجعو ليا النمره ديالي فابور شكرا
2	858000716400611329	RT @drsiyabi: حروف الإظهار فالقرآن مجموعة في أول حرف من كل كلمة فالجُمل التالية: ١-أخي هاك علماً حازه غير خاسر ٢-إن غاب عني حبيبي همني خبره…
2	858000730233462786	بالله هاك الاءمه اللي حفظو بعض السور ويرتلو فيها والمستوي متاعهم سنه روضه فراشه هاكم مش يفسرولي ديني يجعلهم
2	858000760398901248	RT @hyatiiii: يا نسيم الصَّباح سلِّم على باهي الخد  نبهه من منامه . صباحكم نسمات الجنة ورضا الرحمن. #هيبة_ملك #اناقة_الياسمين… 
3	858000855131443201	من كل فن طرف ا ساط الشهر جاي تقدر تلقاني قلبت ع الراب كومبليتلي
2	858001105258782720	احساسك قبل الفاينل غير الخير غير الخير دايره فيها والي شر خاسر جيبي صحتي وكتر لوكان جاخيري يهدر يقولي
2	858001115241222146	غاع هكذاك كل حاجه بوقتها
2	858001151685427200	الله يكون في عونهم اذا كان الحال عما هو عليه دابا اش غادي يكون حالهم من بعد في رمضان
3	858001301518647297	احب ديرة شريك الروح واغليها    لو كان مالي بها رفقه ولا لابه
2	858001365347577856	واخا غير نريقو معاك ا ساط
2	858001398516129792	بص غدوه من ماك و كفا الله المءمنين شر القتال
2	858001549624315904	وا سير نتا وجد للراطراباج باش تفاليدي
3	858001658151874560	المستفيدات الوحيدات من هاد الفضيحة الجنسية و الاخلاقية هوما الطاليبات لي ماڤاليدو حتٌا قلوة هههههههه
3	858001682050850816	علاش كلهم رد عليهم راموس امس الا اني
3	858001726762344449	داك شي لي درت كلست و اتاي
3	858001860145291265	دابا يطوال و يعجبك ابنتي
2	858002101703782401	بغيتي رجيلاتك يوليوا رطيطبين وورديين بحال دراري الصغار اجي نوريك كيفاش
3	858002170821705728	@l974_ الله يرحب بش   ارحبي انتي❤️.
2	858002278661459968	باهي الي درتا عشان نضتي
3	858002321736953858	شربحتي بعدا ياكما دوك الكيسان او الطباسل ديال الغلايق ايديرو زوين لا عطاوك مولادا فابور فالصيف كامل
2	858002367861723136	علاش ماتعومش توصل للبير ماتشربش
3	858002375944142848	ناس لطيفه بدون اجنده علاش حاسب نفسك المشير طنطاوي
2	858002439991066624	بااز فطرت و تغديت و دبا اتاي
3	858002519036964865	مبقاش عندنا ماتش معاهم ياك باقا ليهم الراجا فاخر ماتش واقيلا
3	858002619335409665	@RaCh_glm هههههه كان الجو زوين غا جيت وتقلب عععع
2	858002707126333440	#كلمه_لشخص_اتغير_عليك  هدا الشخص عرفته في تويتراعتبرته اخت صغيرة لي في يوم تبدل 360 درجة ...اقوله #علاش ..غريب كيف الناس تعرف تتغير فجاة😣 😕😔
2	858002814915796992	ميزت وان الذيب ماعاد يدرق وتشوفه ام قرين وهو يشوفها بيت  شعري قديم معناه ينطبق على عصرنا الحالي
2	858003130243481600	من الرسائل .. مطلوب موتور سنفور ع فراغة غي غازي عنتاب متابع
3	858003328936050688	@Nina19950121 واخا نجمع لرمضان 😂 نهار طويل 😁
