label	tweet_text
MGH	كلمات أخوكم راشي ياسين (لي عندهم الغيرة  فالقلب على المولودية غادي يفهموني).  في الصور كؤوس و ميداليات الفريق... https://t.co/B4iZJ6Pibr
MSA	طريقة سهلة وسريعة لعمل كرات الشوكولا بالكيك - كوجينة انفو https://t.co/zPT3arelqL
OTHER	@ibrahim_shibli اي زول و فهمو
MGH	@Sirta________25 واش بيك هبلتي
OTHER	RT @ashraf_sala7: عارفين حقول شنو كلها 300 عشان أضنينا وبتاع ومن الحاجات دي يلا أضغط وأنت ماشي ماف زول حيشوفك #retweet https://t.co/MqQ7K1g…
OTHER	@dimachqiya @ho0zam @HadiAlabdallah والي بس السم بين الناس بين الكورد والعرب لساتون ع الشاشات عن يجعرو متل الكلاب ليش ماحدا عم يسكتون
MGH	شوفوا هاد لاعب المحترم علاش خدا حمرة: https://t.co/GwtWioIvU8 via @YouTube
MGH	كلمات أخوكم راشي ياسين (لي عندهم الغيرة  فالقلب على المولودية غادي يفهموني).  في الصور كؤوس و ميداليات الفريق... https://t.co/B4iZJ6Pibr
OTHER	RT @aaddmani66: لا والذي سوى عيونك  وسـواك ماقلت ابيك الا وانا فعـلا ابـيك  الحب ماهو سوالف وخذ هاك الحـب يقطع عرق عينك ويعميك https://t.co…
OTHER	RT @doodybashir96: والله ما قصرتا مع اي زول ما تخذلوني عليكم الله 🙌🏻🙌🏻❤❤@UpStore2 https://t.co/gCvo5P1xuN
OTHER	@mardood1 داداش جهانگیری هم تو اختلاسا بوده:)))
OTHER	المرة دي مافي زول قادر يتنبأ بي التشكيل الوزاري، ولا تشكيل واتساب ساي ماف🤔
MGH	@anwarmalek كون لقاو الخير فالجزائر ماكانوش اصلا غادي اهاجروها
OTHER	RT @RanOoshQu: الاكعب من انك تبطل تحب زول انك تفضل معاهو وهو حاسي بي كده أدب النهايات ..... يستركم  ربنا
MSA	RT @asseedan: أغنية: يا نسيم الصباح سلم على باهي الخد - بصوت عذب - عريب  صوت جميل https://t.co/UuIprR78yK
OTHER	@t8v_g ارحبي انتي ي مرحبا بش
MGH	يتحدثون عن تسليم المشعل للشباب ثم يرفضون تسليمهم حتى الميكروفون ، شكون هوما ؟
OTHER	RT @_llM76: @N3S___ https://t.co/PoGjXnqa4T يحيج ماشي ع هالنظام انتي+ يريعه منج😂😂😂
MSA	RT @ReemooSalah: القروش اصلا ماكانت مقياس لشخصية الزول..ماممكن لبسك كله يكون ماركات وحاجات غالية وانت جواك زول رخيص! والله سلامة القلب دا م…
OTHER	انا لما اشوف اسمو مرسل لي ❤️🚶🏻🐸 https://t.co/khKzCZPsXu
MGH	الملك تقلق" من مغربية وضعت رسالة في جيب قميصه في أمريكا " السعاية والريع فالدم واخا يطلعو تا للقمر تفو!
OTHER	RT @perfectteyebrow: انك تقلل من مقدار زول و اهميته دا ما برفعك انت :).
OTHER	RT @am7pp7: أركد على هونك تشد برسنها  ما تنغصب مهره على كل خيال   بعض المهار انواع ما كل ضمنها  ما كل مهره تهتوي زول رجال  #نظرة_عيونك💞
OTHER	RT @yazn_2017: ياطير لو مريت في دم مسفوح وقف و بلغ صاحبه بالشهاده  ومن جرحني قله اليوم مسموح إلا الوطن ما بش لجرحه عياده https://t.co/eVwjT…
OTHER	@ashraf_sala7 بعد موسى الرشيد فى زول ما بعرفو كمان؟؟؟
OTHER	RT @ex_150: له مدتن بالسوق ماشيف له زول   وبابه عليه من السوافي ترابــه  #قروب_التركي_للرتويت #نجوم_عتيبة_للدعم… 
OTHER	RT @AsCom123: تعال هاك الخفوق الصعب وإحتله الشوق حده وصل وتقول لي بدري  وصلت للي عجز أي شخص يوصله ولا فيه غيرك بقى في خاطري يطري❤
MSA	@ajmubasher باهي ومن مارس ذلك في تسعت حروب وتحت راية الصليب ماذا نقول عنه
OTHER	@batne_chap بنظرم گوه خیلی کمه برای این وضعیت حالا بازم میل خودته داداش
MGH	RT @TajMaroc: @dora22danya @illy_ylli @salmaboujidi شكرا اختي الغزالة من طيب أصلك ربي يخليك لواليديك هذا من طيب اصلك انتوما اللي… 
MGH	هاو هاو كل يوم عمال تحلو
MGH	@Abdel_72 @FLqadiri ديال الكصبة تيكون حمر واقيلا
MGH	شحال زوين تنعس وتفيق وتلقى شتيوة😍والجو بارد💙ياسلاااااام😌😍
MGH	@Maroc_Telecom السلام.  أنا طالب تسرق ليا التيليفون ديالي، شحال من رتويت و ترجعو ليا النمرة ديالي فابور؟ شكرا.
OTHER	@news_ger_chekel يلي عم يقولو الفستان حلو بش انو بشوفو من عيونن 😂
MSA	RT @drsiyabi: حروف الإظهار فالقرآن مجموعة في أول حرف من كل كلمة فالجُمل التالية: ١-أخي هاك علماً حازه غير خاسر ٢-إن غاب عني حبيبي همني خبره…
MGH	RT @Hatemach: بالله هاك الأئمة اللي حفظو بعض السور ويرتلو فيها والمستوى متاعهم سنة روضة فراشة هاكم  مش يفسرولي ديني؟ يجعلهم... https://t.co…
OTHER	RT @A9__T9: الرفاقه تجاره والوفا راس مال أشتر اللي يعزك ولاتعود بخيل ٠٠ لاعصتك الأجابة هاك رد السؤال الليالي معارك والمشاريه خيل"
OTHER	RT @3ouqh: غادي حالي ماعاده بذاك اللي تبي    أتصبر ، بس الاخلاق قدهي شاينه.
MGH	@iHibo غاع هكذاك كل حاجة بوقتها
MGH	@Medi1TV الله يكون في عونهم اذا كان الحال عما هو عليه دابا اش غادي يكون حالهم من بعد في رمضان 🤔🤔🤔
MGH	وا سير نتا وجد للراطراباج باش تفاليدي https://t.co/yiroNv2lT5
MGH	علاش كلهم رد عليهم راموس أمس إلا أني؟  😢
MGH	@Nina19950121 داك شي لي درت كلست و اتاي 😂
MGH	بغيتي رجيلاتك يوليوا رطيطبين وورديين بحال دراري الصغار؟؟ أجي نوريك كيفاش https://t.co/K7sTDadUJv
MGH	@OjlyAl باهي الي درتا عشان نضتي
MGH	@karimOUTTA شربحتي بعدا ؟ ياكما دوك الكيسان أو الطباسل ديال الغلايق ؟ إيديرو زوين لا عطاوك مولادا فابور فالصيف كامل @CocaCola_Maroc
MGH	@RAhik081 @Dz_quote  علاش ماتعومش توصل للبير ماتشربش
MGH	ناس لطيفه بدون اجنده.... علاش حاسب نفسك المشير طنطاوي
MGH	@Nina19950121 بااز 😒 فطرت و تغديت و دبا اتاي 👀✋🏻
MGH	@meryemwac37 مبقاش عندنا ماتش معاهم ياك ؟ باقا ليهم الراجا فآخر ماتش واقيلا هههه
MGH	@RaCh_glm هههههه كان الجو زوين غا جيت وتقلب عععع
MGH	@fassitanjer @Rose_bladi 😂😂😂هبيلة نتي داكشي علاش
MGH	@Nina19950121 واخا نجمع لرمضان 😂 نهار طويل 😁
MGH	RT @glamourdior: ميغسي بنت بلادي الجميله😍💐😊😘كلك ذوق😍ونظر👀😁هذا"بعض"فقط👌😚😁من جمالي الجزائري😍ابيضاني طبيعي💯ملائكي🌝نقي⛄صافي💎صارووخي🚀😍🚀كك… 
MGH	RT @glamourdior: يعيشك بنت بلادي😊💐😘انتي ايضا جميله جدا😍مثلي انا😍آآه انا🙌😁ككل #الجزائريات😍ملكات جمال الكون👸👑😍👌ماشالله علينا😍يخزي العي… 
MGH	@3laa_Cyrenaica والله انت باهي اقسم بالله انت😡
MGH	@mohamedhilale91 علاش الفوطو تاع بيونة بالذات 😜😜😜
MGH	الدريات لي ميقدروش ينوضو للسحور جبت لكم الحل😎 . . . . . . . . . . . .  عطيني النمرة ديالك نصوني باش تنوضي... https://t.co/j9pwnHjeDw
MGH	باهي تهاني ما تبيش حد يمسك عليها توكات؟
MGH	@Veryharam_  😂😂 غير باهي الي عطلونا الاتنين هما
MGH	فين غادي نلقاها الله يفتح عليكم https://t.co/JzjAgQnvch
MGH	الناس زمان كانوا إما مشاركين ف الدم و القرابة أولا مشاركين غير الملحة و الطعام ، دابا ولينا مشاركين الدلاح ديال شيشاوة و داكشي ...  :O
MGH	😀الزمن الجميل والبساطة صدق من قال الذكريات غذاء الروح و أي ذكريات. الجيل الذهبي  الجزائري تاع زمان يشفاوا عليهم ايا… https://t.co/SBp04KYfSx
MGH	@chams90413482 @Nina19950121 @Rose_bladi هذي شوية تقول فيا كلام زوين شوية كتقلب عليا 😓
MGH	@hudaarqoub لاء لاء هادو هوما احسن اثنين بالعالم  و بس
MGH	@jihanoo4 @hudaarqoub ههههههه نجي غا انا باراكا مبغيتينيش
MGH	@chams90413482 @Nina19950121 @Rose_bladi دبا واخا زوينة و لا حمقة 😐 اش قالت 😂
MGH	@Nina19950121 @fassitanjer @Rose_bladi ههههههههه كاطططرجم مزيان ياك بعدا 😄
