score(/3)	tweet_Id	tweet_text
3	845892964073328640	ما في انكد من انك تيجي ع حالك وتصحا بكير مشان تحضر محاضرة وبالاخر ما بتلحقها! 
3	845892999926239232	RT @LoloAbullah: كيف بدك تصير تفهم و انت بتعمللها لايك ع اشي ضد مبادئك بس عشان صورتها عجبتك 😑 ؟
3	845893093371121664	سدّ بأعالي جبل لبنان؛ بتعرفوا شو اسمه؟ #Checkin_Lebanon  Photo by: @highsamachkar https://t.co/ekXrZcNoTH
2	845893099054354432	@i3zV7 عشانك شبيح خوينا اعتذر لك
3	845893232441638912	شو بخاف دق عليك ومالاقيك شو بخاف بنص الليل ماحاكيك✨
3	845893272199479296	@rolamasri @AvSL_Frangieh لو بيسكّر بوزروو بقى لعمى بقلبوا ما ضجر وما فهم انّوا ما حدا بالبّلد تايقوا لعمى شو انّو حمار بس كل عمرو هيك ريكوو
2	845893273138987008	شو مين ماخذة..  رجل من  كاليفورنيوم مقنطر بال  بولونيوم
3	845893302079639553	@Salameh76 قولتك لازم يكون معي الوتد ! 🤔 خلص بجيبه احتياط الواحد ما بعرف شو بصيرله
3	845893307431575552	يعني لولا ما هالدكتور بدو يفصلني كان هسا انا بعمان. اوفت.
2	845893321109200896	RT @imane_wk: فانز نانسي شو عملو بفانز إليسا جلادين   😂😂😂😂
3	845893329460084737	وقت تصحى وبقلبك معبا شوق  مافيك تعمل شي غير انك توزعو هون و هون مشان ما يقلب عليك   بس مشكلة خاف ينفهم غلط 🤔  انو لهل الدرجة كبير الشوق الك💔
3	845893372527230976	RT @Alii_Wehbi: بالزمنات كان "الحب للشجعان   الجبناء تزوجهم امهاتهم". حاليا "الحب للي معو مصاري  الشجاعة ..بتعرف شو تعمل فيها". #هلوسات_مسا…
3	845893382463475712	RT @gray_kalie: صبااح الخير والحب سكسيه للتواصل معى فوت هون https://t.co/rQy4AfPVkv #زوجه بدويه  #وقافى https://t.co/YL8V81Rvtu
3	845893414008864768	RT @hala_kamis: بغض النظر انو فضولي قتلني شو عم تحضرو 😂😂 بس اللون #الكحلي_يليق_بك 😍😎🙈 https://t.co/aiDZeqgrWg
3	845893460922191877	RT @remah_taha: @Nana_2369 @Yacoub_Shaheen اللللله ايوااا فرجيهم شو يعني #محبوب_العرب والملايين الله يزيدهم ويحماك😍🌹🌹 #يعقوب_شاهين
2	845893536524488705	RT @zahriabbas2: #الحرية_لأحمد  لما كان التيار الوطني خارج الحكم كان يطالب بحرية التعبير لما صار ب الحكم صار يسجن الناس كرمال بوست ع… 
2	845893553452666880	RT @salmaibrahimv: هسى في ذمتك دى خلقه زول عندو قروش لصاله وعشاء وحفله ب_طه سليمان ... 😂💔 https://t.co/oPDFZzd7sp
3	845893587090968576	@wiamwahhab لك منيح طلعوا سمعانين بالقدس ......
2	845893720750903296	RT @MarjoryLaughli: رتويت يا مطيع ل #ثلاثينيه للتواصل معى فوت هون https://t.co/n9VO3xJaqC #مطلقه سكسيه  #مكوة https://t.co/E2BUmgzP99
