score(/3)	tweet_Id	tweet_text
3	847862510086651908	RT @Mr82__: لابس احمر عنده عيد وباجر يتاني الهديه ويمي ام بثوب اسود تنتظر تابوت ابنهه امهدله وتلطم خطيه @rmh3744 https://t.co/HgKgioes0F
3	847862551060918272	RT @Na__iq: احّ ـّـٌٍ❣ـٍّكَ  لو تجي بجروحي ملح تدور احبك لو تجي وتكطر محنه احبك من شفت نظرة عيونك ذيج احّ ـّـٌٍ❣ـٍّبّك بعد ميمهني ابجي لو ا…
3	847862559667625984	RT @oP4lI0vswjqLiTc: يمك عشت أحلى ايامي https://t.co/aPdQ2n43un
2	847862567326425089	اوف شقد شمات يحجـون.. https://t.co/p08mbAQSgd
3	847862584443379712	RT @Balkes554: الخروج وحدي ..والسير تحت المطر و!!!! لوحدي 😇 افضل من مرافقه  احدهم 😏 هيج اوقات حرام تشاركهامع واحدمتاكدمنه راح يعوف… 
3	847862609017798656	كل واحد يگولي من وين هوّ؟
3	847862620124307457	RT @ail419991: شوكت تجي تخلصنة يمعود يلة بسرعة بس باوع شحدك زعلهة هاي الكبد بس يلة بسرعة حباب    هههههههه @Sara2244664… 
3	847862628613574657	عز الله انك هم لاكني اغليك         حنبت لي مابين حلقي وسني  مادام صدك ياحبيبي يسليك          افصح كلامك زين وارتاح مني #بوح
3	847862648767119360	@3bood2621959 @8aed10 @ReNgo_Sport لاتعبو ارواحكم ويه واحد متطفل ..طبعا مشجع حميرنغي .اكيد يكول نيمار.لان عدهم مرض اسمه ميسي
3	847862662474207232	@karamsafa445 اني هم كاعد اشوفج متحمسة بس ليش هذا الحماس شنو انتي مو بالعراق  واني جدآ اشكرج واني جنت اتمنى الكه دعم من لؤي ساهي
3	847862689653301249	RT @nada595551: يوليدي العراقية التسولف بيك  لمن تذكر اسمك گلبي اتگطعه بلكت صورتك لو صوتك انسمعه #وحدوا_اقلامكم_وغردوا_للشهداء https://t.co…
3	847862701070188544	RT @Tyjr199: اكولك انت اي اي انت  الي كاعد تقراااا فديت عيونك انا 😘 🙈🙈🙈 https://t.co/8jXPDTFbgA
3	847862719135047680	RT @asd___sa: ✋مخنوك😔  #ربــي اخذنــي الدنيــا ماترتاحلــي😖   كلش ضوجه https://t.co/MD85IECndx
3	847862721949388800	RT @ajf_5: عز الله انك هم لاكني اغليك         حنبت لي مابين حلقي وسني  مادام صدك ياحبيبي يسليك          افصح كلامك زين وارتاح مني #بوح
2	847862747547279360	RT @Almajlliss: مشادة في مجلس الأمة بين صفاء الهاشم ومحمد الهايف:  هايف:  لا أريد الجلوس من امرأة متعطرة. صفاء:  من حلاتك اقعد يمك ! https:…
3	847862762709667841	RT @Diid006: مواليد شهر 4 : يكتم كلشي بقلبه واذا طلع لك اللي بقلبه فأنت انسان مميز بالنسبه له عنيد واذا حب يحب من قلب مايهتم لكلام الناس بس…
3	847862830523191298	@Iraqia_92 خلي يقيم دولته عيني مو على حساب اقليات اخرى كركوك بيهااقليات متنوعه  اذا هيج منا وجاي كل واحديشيل علم ال… https://t.co/68hAwdwMNU
2	847862855101800448	RT @NatGao_Arabic: "المامبا السوداء" عدواني شرس وهو ثاني أخطر ثعبان على وجه الأرض وأسرع زاحف لدغته تكفي لقتل 30 رجل بالغ نسبة النجاة م… 
3	847862907295739904	RT @zaidalftlay: يرادلنه هيج ناس تسوي بالمسؤولين وترجع صوتها https://t.co/4QZ4DpJTzX
3	847862918427406337	لازم تفهمو انو الانسان مو دايما رايق لابد ماتجيه حاله يكره كلشي .
3	847862934688739328	RT @ap_pa34: بغداد من دون المدن كل يوم مذبوحه كل يوم عدنه مجزره واجساد مطروحه الموت يمشي بالدرب وينه اليضم روحه #وحدوا_اقلامكم_وغردوا_للشهد…
3	847862949561737216	كلش اصلا مو بخاطري  🚶🏻 https://t.co/Kptf6FUIo9
3	847862969417551872	@1rijks احسن لك  لقب حجية كم يسوى منو ما يحلم أنه يكون حجي
3	847862976652693505	البـشر يخطون والتـقصير حاصل وان حصل مني خطيه سامحوني  وكـان غبت وماحصل مني تواصل بالـدعاء والخـير والنـعم اذكـرونـي
3	847862995250229248	RT @thamerhadi1: نخجل نصيح بألم كلش عزيزة النفس ما نريد نقطة ضعف  وكلمة شماته تمس بس حقنا نبچي لان بالدمع محد يحس💔 #علي_شواطي_دجله… 
3	847863046739558401	RT @GdsghSafa: #وحدوا_اقلامكم_وغردوا_للشهداء عباس عينك عالحشد  بجاة العقيلة ارعاهم عدهم عوائل تنتظر جيتهم وملكاهم 😢
3	847863048056565760	عز الله انك هم لاكني اغليك حنبت لي مابين حلقي وسني  مادام صدك ياحبيبي يسليك  افصح كلامك زين وارتاح مني......
3	847863054356369408	انا اقول هل حجي ما يبيله ينقال شايفين ادائه الفتره الاخيره وواضح الريال ما قصر بس اذا ما يبي يكمل لا يقثنه بلعبه ال… https://t.co/0f5h5bqnPD
3	847863098073645056	RT @nesma_alsabah: #كروب_نور_الحشد  السواتر والحرب تعرفنه زين طابعين اجدامنه بخدهن وشم  عدنه مثل العافيه الطك والرصاص الدمه يصهل حافره… 
3	847863107359780865	RT @bU13Y7qfztFxEv8: وين تروح من عدنه الحرامية #الزعيم_العراقي_مقتدي_الصدر
3	847863122631294976	RT @sweer_exo: الضحك على شخص حاول الانتحار ما يدل الا على كمية الامراض النفسية اللي يعاني منها هالشخص   شخص حاول ينهي حياته و كان… 
3	847863128536829952	ما تعودت على هيج فراق.. https://t.co/Vcczo1RfZj
2	847863141119774722	RT @Ashamsi_: الربع كلهم دوامات ومشغولين  ادور حد يسير ويايه دبي  حد بيخاويني  ؟ 😅
3	847863146891104257	RT @noaraaahh: عسى الفرح دايم يغرد بدنياك  وعسى الحزن يمك يضيع طريقه وجعل السعادة ما تفارق محياك  وعسى طريقك دوم محدن يعيقه #قروب_الويلان_ل…
2	847863172501573632	شنو وضع ابديت تويتر اليديد ؟ 🤔 ليش المنشنات ما تبين ببروفايلاتنا ؟؟ كلش ما حبيت الابديت
3	847863213148471301	RT @m__27__er: الجو غيم و ساقنـي يمك حنين  الله يجيبك يوم جــاب الله مطر        ــ௸ﮩ₰ماهر๘ﮩـــــﮯْ https://t.co/nhMMpYw5ss
3	847863231553167360	كلشي خرا صاير.
3	847863252084297737	لو غبت عني سنين حبك ولا اعوفه اشوف غيرك مين والعين مكفوفه✨💭❤️
2	847863323903356930	RT @ee__01: راحت بي الذكرى على غير ميعاد واشتقت له والشوق ما هو خطيه
3	847863324515631104	RT @mdalyusuf: لهجتي وطريقتي في الكلام كلش مو من شغلك اوكي ؟
2	847863333881511939	RT @z_kuwait89: يا حجي اللهجة الكويتية نصها من الهند وبلاد فارس ! زعلان على كلمة "حارة" بدال "فريج" !  تفاهة الصراحة
3	847863344631615488	RT @sxs915: غنية ميريام وجاد #فوت_الجول ام فيلم سكس بمعنى دخلو مزبوط  ويوزع لفن البناني جمع كلشي بفيديو واحدسكس وكرة القدم  ياخ… 
2	847863407994957825	@kamado111 لا والله يابا ... انا من فلسطين مابعرفش هيج حكي
3	847863433244684288	RT @ahmedmooa41: منو يسويلي هيج ؟ 👌 https://t.co/OHwxjjbEOI
3	847863455294136324	RT @ffihgjfshfdkfej: بـنص.  وجهك. كمر لو انته شكلك هيج https://t.co/7TxwF87pO9
3	847863452202930176	كلش ماخرب الدايت💔💔💔💔 https://t.co/GezInaarkJ
3	847863532427202560	الروح بيك تموت واحش عيوني موت🔥 لك والله خطيه ماتحس انته بيه 🔐 ياخوف قلبي يوم تنساه وتعوفه✨❤️
3	847863627717783552	مسائكم الله بالخير شفيكم صايرن كلش ترى مافي تفاعل مو مث… — ياخي شسمه ههههه مرحلة ال مالي خلق ضاربه العداد عندي هال… https://t.co/lloKo79mut
3	847863629085126661	اريد ايجة تسويلي موطا شكد ماتطلب حاضر https://t.co/qfI2DzCPYP
3	847863639193333760	@AljoboryMohsen لا اني مو عايشة بالعراق وما شايفتها غير بالصور على مود هيج متحمسة ولؤي دعمك جان ما رد عليك
2	847863649603641344	RT @Blackadoration: #حبك_جنتي ومأواي بسحر عينيك  أعلن عشقك مثواي ليك اكتب يا أملي ومناي كيف السبيل وانا صدك هواي بك اطمأن قلبي وإليك يص… 
3	847863653537902592	@Fa21y كلشي نبيه مو بس الدوري ولكن الدوري اهم بالنسبه لنا
3	847863653927923713	بعض الروايات الاتنشرت علي قناة اشياء بسيطة علي التلغرام  بي روابط مباشرة من علي القناة :  حجي جابر سمراويات... https://t.co/7AAKLCvw8g
2	847863670898032640	RT @Abo38ai: الغير فاضل فيصل الزامل باع اخرته  بالدنيا يفتخر انه من مجموعة ال ٧٩ دودكي وربع #مجموعة80 #مجموعة_80_لا_تمثلني  تبت… 
3	847863681891262464	مشكله الواحد لما يحط نفسه ف مكان مو ليه   ويتوقع نفسه كلشي في حياة الشخص الاخر .
3	847863764250767362	RT @i_MT94: قادة وممثلو السنة ما عدهم شغل وعمل غير النباح على القوات المحررة والبكاء على ابناءهم الدواعش لما يشتد الوطيس #عمليات_الموصل_مست…
3	847863792054796290	@fhfhjt1 @shathooy_95 لا لا ما اظن كلش كذا ببساطه
3	847863802997723137	#حياتك49 فقرة موحلوة ابدأ لبش هيج
2	847863845112729600	RT @Am64x_: الي يجذب الجذبه ويصدقها  اهو نفسه الي مايعترف بالغلط  اهو نفسه الي عنده عذر حق كلشي   اهو نفسه الي لي تغيرت عليه من سوالفه طلعك…
2	847863855707566081	@Oyoonasker محدش حكى رجعي وقاع ومش قاع بس مين انتا عشان تحطهم تحت مسمى سلعة؟ كل شخص حر بحاله وبشو بيعمل ومسؤول عن ك… https://t.co/0iEPV20X6o
3	847863873067732992	RT @karb198011: : 😏🙂 اليريد يروح؟ ذاك الــباب مفتــوح لا يشمر حچي ويحچي بتفاصيل مانجبر بشر ميريدنه وياه عدنه الباب يوسع مو جمل#فَيَل https:…
3	847863917888102400	RT @dvCyJBhnGy3rOr4: جنون المحارم تجسس حقيقي  منو من محارمك هيج شايله طيز https://t.co/m8Dm5IE8hj
3	847863954244337667	الجو مو شي كلش 😕
3	847863974620258304	انا اعرف كلشي بس احب استغبى
3	847864018966642688	RT @8812Aa: حنا ليا شفنا ماعفنا من الناس نقفي عن المخطي كرامه وشيمه  كلش ولاجرح المشاعر والاحساس للنفس عند الله والاجواد قيمه
3	847864054148456449	@tuqamohammad من اباوع على روحي ينكسر گلبي عليه 😔
2	847864103502843904	بيج فاميلي ميل😂😂💔 https://t.co/bzgdSP51c3
3	847864118283513856	@karamsafa445 ادري هو دعمني بس ما كمل دعمه لان ما كاعد يعلمني اسوي مونتاج وان شاء الله اتعلم واكدر اصور واحققلج حلم… https://t.co/gPxW66sM6U
3	847864119483142144	RT @M_im30: جنونك غير عادي الشوق يمك ياخذني.        ونتظار حلمك وحلمي ف طابور السنين✋🏻
3	847864129826299904	حياتي كلشي مابيها بس هموم ماليها.
3	847864215817904128	RT @ITWiCfijniLqINm: @Iraqia_92 خلي يقيم دولته عيني مو على حساب اقليات اخرى كركوك بيهااقليات متنوعه  اذا هيج منا وجاي كل واحديشيل علم ال… 
2	847864276652109825	RT @s73_xx: اتوقع انا الوحيده اللي كلش مو مشتطع على حفلة مجيد ؟🤔
3	847864400799293440	@rawansale7_  *مسؤل عن كلشي بيعملو*  وانا حُر   انتقد الي بدي اياه . اوريكي اكم من صورة كانه موجدين بالهاش وتحكيلي رايك؟ وتحكيش حرية شخصية
3	847864457267224580	ويا حجي لا تنسى ذكر الله " وما ربك بظلام للعبيد " ان مع العسر يسرا #انقاذ_غزة https://t.co/pPimyTfqth
3	847864490590949377	RT @abbas_altaie: كلشي شفت بالعراق بس مال مدير. مدرسه 😳  ناشر علق ومن صورتك #الشخصيه 😳  اعرفك داخل #وزاري لو لا 😂  هاي صفنتني هواي 😂
3	847864512157974530	RT @ya__zainab: اربعه وعشرين ساعه في اسبوع ميّه وثْمانيَه وستين العدد بين جمعه وجمعه كلشي بهالوجود يندعي ويصيح يالمهدي مدد جمعة مبا… 
3	847864523935678464	RT @jawad_hashdy: #عمليات_الموصل_مستمره   #EHS    صدك جذب 😕😕👇 https://t.co/ZxqdVerL8m
3	847864527408508928	اذا وصل طلب اللي يمك قبل طلبك https://t.co/b77WerBpPd
3	847864537999187968	وهوا عالي كلش
3	847864544567451649	@karamsafa445 هو اني هم راح اسوي هيج اتعلم وحدي  بس اني اريد دعم من الناس واني اسم قناتي على اليوتيوب Mohsen aljobo… https://t.co/Ycre2Fbx5b
3	847864557330714630	RT @readabdalreda: ريحي كلبي ينور ولا تعذبيني  شكد احبك وانت زين تدرين  وحبك ملئ كلبي والعيون  وغيرك ما فكر بعد ولا شوف أحبك بجنون https://…
3	847864567543812096	RT @wertyuiopasdfv2: اشمالهه الوادم   علي #متعافيه  #وانه شايل نيه كلش #صــــافيه .ليش #يردون اليحط بيهم جروح وما  يحبون اليمرهم #عافيه… 
3	847864571515817985	معسل الكرز بالكريمة كلش طيب😍
3	847864576347648003	كلش مو زحمه:) (@ Grand Avenue in Kuwait) https://t.co/4S6Fg3Susr
2	847864596283236352	ذذذذسسس💯💯💯 https://t.co/9B814xvrJf
3	847864598023868417	RT @Saead2010: #لو_نحكي_بصراحه وحق إلي ما وصل واحد مكانة     تدري شكد إلك عندي       مكانة    شلت كلبي وصرت أنته    مكانة     ونبض البيك أه…
3	847864616730456065	ليش لاحبه يروح وينساني  بس صدك يروحي للموت  ما راح أحب ثاني♡♡♡ https://t.co/zqyxYAyMz9
3	846055974255415296	@WIm43z463iNrGTC تدللين ليش لا اهلا وسهلا بيج نورتي
3	847883564058333187	RT @Bn_mofter: أنا مع الجهّال جاهل بـ كلش وأنا مع الصاحين صاحي وجاهز من وين ما تبغى نبلش نبلش خذني على كل الفرص ذيب ناهز
3	847908380127657984	يااخي دا اباوع ع فلم هندي شلعوا گلبي والله بس يبچون😂😂
3	847906033850830858	RT @zena0zena: مصطفى سمين وعيونه ملونةوحساس كلش زينب لطيفة بس عصبية ومتنحب بسرعة رقية لغويةدرجة اولى ودايما هي صح  اسراء تغارهواية… 
2	846077934699982849	@a_y_23 شنوو ترا هاي حجي حوراني 😇
3	847530340054966273	اعزاز كلشي بالطيب والطرح يربحو كان كابرو اللي في اعزومي قلت هي الخيره قتلها اخطورهم يوسف الدريبي
3	846112372460802048	@2004Noor هي مو قبل ايام بتها چانت بدهوك  يعني مو فتشي كلش غريب
2	846052211721486336	ما بقى لي قلب يشفع لك خطيه ....
2	857358305454432256	كلش مو وقت عيني تتحسس وانا بنام☹️😪 شون يعني
3	846104804728459268	#هنيالج_يالمڪابر  صفو  بيج  أعزاز #يطيبــــون_الجــرح   لو  جان  ملجوم   الله يعطيڪ الصبر اخ #علاء  الله يرحم غاليك… https://t.co/p4aNkRtkw6
3	846090004694814720	@sam995san @797d668f19224b5 @hades_the_2 حجي منو كال امي تريد تحجي وياك اصلاً هي تحجي بس ويه اللي عندهم عقل ما تحجي ويه اللي عندهم اعضاء
3	846059339441942528	@miss_m79 المشكلة قناة كردية مسوية وياها لقاء بذكرى حلبجة عود تعتذر صدك ناس ما تستحي
2	847530415195815937	حنيني قصب يدفعني و ياخذني الوله يمك ابد ماظن تمنعني مسافات ظما عنك
3	845710516999913472	RT @AytcheEee: هذي جمال وجه جسم كلشي https://t.co/JVG0ZtGIIK
3	846055944668762112	@zrsd93 صدك الحمد لله أحد أعلى مني 😂😂😂
3	847920842696773632	@Aishaidrees_ ترا ابجي اوكي 😭😭😭😭😭
2	847535199172907009	حنيني غصب يدفعني .. وياخذني الوله يمك  وأبد ماظن تمنعني مسافات الظما عنك تراك انت الوحيد اللي بقالي 💛🎼!..
2	847913302227382275	اكتفيت ب قلبه عن الجميع  ويكفيني صوته عن كلشي ..
3	847890731125624832	@naiifx_11 انا مسكين والله كلشي انا السبب فيه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
2	847529999037059072	الا اوزيل مب في التصويت و مسوي زاحف انت
3	857350420330672129	اعتقد اكو ناس عدهم قاعدة  من يتقرب منك حباً ابتعد منه او تجاهله😕
3	845722124790714368	انا نازل وأهلي معي أخي وابني وابنتي وكل أسرتي اليمن اغلى من كلشي https://t.co/5SGiyLRUsV
3	857352910124064768	وموشرط احط قلب ازرق يعني اخص احد فيه كلش ماله شغل ؟
3	845713678192295937	RT @6xzdHAGUj5QTwyE: السواتر والحرب تعرفنه زين طابعين اجدامنه بخدهن وشم  عدنه مثل العافيه الطگ والرصاص الدمه يصهل حافره يخضر زلـم #ح_ش_د  #…
3	846081804058705920	RT @hoda02ll: 💯🔝🎶🇮🇶         الهوةةٓ المَابي عطر منگٌ عليمن هااابْ * * * #هدووووش  #اسير_الصمت_للدعم https://t.co/UGDRur3rQm
3	847889165572354048	@AlderbasRiham @2004Noor كل ما كانو يجون الطلاب يسالون علئ كيسات بالكليه اكلولهم تعالو كلشي عندي شنو كيس المطلوب خط… https://t.co/d7m9lfTfg1
3	847897545330356224	بيه شكد عتب  بس ماحچيته
3	847906627168718854	#غردلي_شعر  ليش بس شباج صدرك     يعرف النسمه التخدرني وأذوب ؟ اي عود ليش 😐 https://t.co/LdLwy01MT9
3	847539167122915330	#واضح_انك  عندي جروح تضحك من تمر شمات شايف هيج حتى جروحي شخصيه..!!
3	846098853665427456	@tabark_aysar اها كلش حلو لعد حقهم العالم يستغربون 😂
3	847925713214853120	هذا شعوري وجاك بالحب زاهي ولا العتب واللوم عدهم ضيوفك   
3	846120012574281728	والله انج خرا قلت لج موتي وانا ابجي 😂😂😂😂💔💦 https://t.co/2bwiz1XCzh
3	845706808341774337	RT @6xzdHAGUj5QTwyE: #رايك_بالحشد وتلآگينهٰہ  وسڪت كلشي  بس آلموت ظل يحچي ✌️🏽 #ح_ش_د #الحشد_رسالة_سلام
3	846107468719689728	@Asiry96 ابي اعطيك قطعة هديه وياه ( كلش مو مالت gbs ) عشان نحافظ على سلامت الجهاز قصدي سلامتك 😂😂😂
3	847542610449379328	RT @i_MT94: أبد أبد ما يفيد وأيهم غير العزل هذولة وحوش مسعورة  الخيانة والغدر عدهم غريزة  #تفجير_اليوسفية
3	845713115652198400	RT @copracorn: الجدي اغلبهم عدهم غمازات بالخد ...بلهجتنا العراقية رصعة ..اقصد
3	847891956491591680	وداعتك تروح الخنگنہ بس اشوف برشلونه خسرانه 😂😂 #غردلي_شعر https://t.co/CbcZp4aDeg
3	847545477214216192	@Azoz_F_Alessa انا عالخط الحين كلش تغير
3	845725051857129473	@ZozaZahoora ههههههههههه خرب على هيج بشر تتبع واحد مايكدر يجمع بين كلمتين
3	846071771472297984	RT @JNGR_70: السلام عليكم احد ماله خلق الناس ومتوهق بالي بحياته وحايمه كبده ويحاول يكون كلشي اوكي بس الاوكي مو راضي يكون اوكي ولا بس انا ؟
2	847560152387641344	شاعرك لمتى من عقب صدك يعاني ؟
2	846108864760205313	كلش مو انا الي دازه لعمري 😎💙. اهم شي اونس عمري بعد💃🏻. https://t.co/TBadv0AH3n
3	857355187547246593	ترا والله وناسه لما اييني حجي حلو بدون سبب ولا دعاء ايشي صجج وناسه 😒🙇🏼
3	847528721141694464	اي بالحيل كلش ولا الامارات عاد
3	846102568396828676	@amghar_ma هههههههههههههههههههه امضارب مع كلشي
3	846069744004464641	RT @2ri00: -  بلغزل العراقي: انطيك من روحي امان  ومن حنجرتي غزل  شتريد اكثر من هاي " ❃♩😪ֆ ء﴾ #قروب_عطرالحب_للدعم #MK_GP… 
2	846078595990720512	@irq_19  اني من انصار الكتب المقروئه  ما احب الكتب الألكترونيه والمسموعه   بس مسموعه مفيده جدا لبعض فئات  خصوصا الي عدهم مشاكل ميكدرون يقرون
3	845739698194657281	RT @mkeedangoom: حنا ليا شفنا ماعفنا من الناس نقفي عن المخطي كرامه وشيمه : كلش ولاجرح المشاعر والاحساس  للنفس عند الله والاجواد قيمه
2	847554529809879040	@RussulHTIQ ههههههههه يومية الصبح ابجي  كمت البس الحذاء بلا جواريب 😂
3	846100265954631680	RT @wamoroccan: @SuhilaBnLachhab تقلبات الحياة كاتخلي الواحد أكثر قوة و نضج و نتي بينتي أنك قوية و تحملتي كلشي إن شاء الله ربي يعطيك على قد…
3	847543367890239488	كلش ولاني الشيب بين بلعيون😭  يمكن بعد سنتين يطلع بلسنون😭 َّسقِيِّفِّةّ أّلَ َّسفِّيِّأّنِ  أّلَ َّسعٌوِدِ نِفِّطّ… https://t.co/Gzh8Bkxuxu
2	847559985466793984	ترا مليت انا بلياك انت شبيك مامليت:(؟..
3	847909009839591424	يوسف سو مقلب بعبدالله الدوسري المقلب كالتالي : قوله طفت الكهرب علينا وطفى البث وخرب كلش وبعدين ما عرفنا كيف نشغل البث
3	846086137361895430	الدنيا دوارة / الله مايبتلي العبد الا لانه يحبه / كلشي خيرة و صلاح ف الدنيا https://t.co/UQkEU3G1Sm
3	847524875644305408	بعد بينه مجال نعود مثل اول لو كلش حنينك ب الكلب وشل بعدني لهسه اغار و اختنك و اشتاك واكلب بالصور بس
3	845716072313573376	@nermincimOzturk اي اذا هيج صح مرات تصير بس اذا غيرو انتي جذابة ولتناقشين✋️😌🚶
3	847915368853250049	@Re9912Re اجل لعصبت ابجي احط حرتي فيك🌚
3	847556550671581184	@dk_e4g شايف بشر ساكن الله يكثر نسلهم ويطول بعمرهم محتاجين هيج نماذج
3	847555246020808704	@ahmednoo ها حجي شكلك مضايق جنه 😂😂😂
3	845739224095772674	@3jjmira @AlRothan_acm ماعليج بعد هالتهديد بينزلونها ومعاها بدل كتب بعد كلش ولا يقطع ايده وينتحر😂💔
2	847873824334991361	RT @Safir_305: ㅤ  ㅤ ㅤ  ㅤ  ㅤ _   خلك على صدك و لا تنشد عن الحال    و جروحي اللي منك خلها على اللھ ! ㅤ  ㅤ ㅤ  ㅤ                    -👤❤️
3	846100709066067968	@dlo3a_me ما افهم انا كلش 😎
3	846105430287962112	كلش مو قادره ابلع المدرسه🙂.
2	847889841559875584	@joy_ali هاي ليش هيج فروح اروح ادرب من هسة لعد اذا تجيني وحدة مجنونة بالطاوات تصير 😂
2	847902365994844162	@Rayeq_kwt بعد نص ساعه حجي 😂
3	847902784641007622	@mahermooor كلش عادي عندي ان شاء الله وصلت لك الفكره الا ببالي
2	847891079777181696	انا وياك عنهم غير🖤 https://t.co/50QYXclIgq
2	847871019201294338	@oJIg6JI @kurbaag   اعرف عجمي يقول باوع باوع
2	857358474904207360	@aKaram27 @philipplahm كلش مو تناقض رايي كان بمباراة اليوم ولا اهو بشكل عام لاعب كبير فاسكت🚶🏻
3	846108508596686851	@EmanAltoufan والله تلاقيني ابجي برروحي 💔😂
3	847914910206103552	في واحد من اخوياي مسافر الإمارات ويصور لي كلشي يشوفه يرسل صور وصخه وبنات بملابس داخلية بس انا مطوع أسوي كابتشر اقصد سكيب
3	846107984304492544	كلشي البيك حبيته شنو البيك م ينحب؟.
3	847907727674363904	RT @waleed556666: . . . . • شكد دورت بس ملكيت 👋🏾💜'  • وجوهۂ سمرهۂ بلونك 🙊🌸'•  . . . . https://t.co/BuzZYj3RSC
3	847911532759588864	@Sddann1 @myhayati @zzbd2014 @_RANIA_IQ @eid300 كباب زرزور مال الانبار ماكو مثله 😢 عدهم فروع ببغداد
3	847921469011230721	@__sf29 كلش ماكتبتي شي حياتي انتي اجذب مواح
3	847527212165324805	لووالله ياكلمت الووشكد حلوه بلسان الحلووالناس عنك يسءلون رادو يعرفونك منوكالولي محبوبك شنونسان لو حامض حلوكتلهم حلي
3	846102945796108288	RT @G0Star: اني اعرف اكو بعض الموصليين قلبهم ع العراق يحبوه من صدك ويقاتلون ضد داعش بس شكد نسبتهم من العدد الكلي لسكان الموصل؟!  #صبرا_يامو…
3	846055809347923968	@anasabdulrahm14 ها صدك عود
2	857342458388258817	كلشي اتحمله الا الصاحب اللي يستغفلك ويستغبيك وهو كأنه ملاك مُنزل   الله يذوقك اضعاف م ذقت منك.
3	845711438618480642	@KHALIDz_A @hf_tvhs45 انتو هسه بهذا وضعنا وخايفين من عدنه لا تنسى احنا مانلعب في بلادنا مثلكم اذا تريد تلعب تعال في بغداد وانشوفك شنو الكوره
2	847875484721565697	@MousaAlomar لا عدهم اجر عميلين
3	845733444835512321	@islam_95_Adel    كون تبعنا  في كلش  نقولو معليش نتبعوو غير في النص برك..........
3	845711013530009601	RT @g010885: - لو هيج ذلٱنهہ العشگ  - جٱ بيش نرفع رٱسنهہ    ❕اسمعو👆  #مقصوده   #ثرثره_موجوع https://t.co/M46xSlNBjN
2	847925305868156928	تويوتا لاندكروزر VXR 2013 وارد الساير كامل المواصفات جلد بيج فتحه ثلاجه مكيف سنترال V8 شاشه… https://t.co/TUJUeX8Wnm
3	847884387999985664	@yasserjeber6656 كل يراها حسب واقعه بالنسبة الي اشوفها هالشكل كلشي ممل
3	846087364187475969	لاتظنين اني انا لانه كلش م هميتيني 😂😂😂
3	847883379097915396	ياليت لو يرجع كلشي شرات قبل😞 https://t.co/k2LEbAbZvg
3	857351175682830336	@Asiry96 @Blancogirl_a @bbm_y هااا اشوه زين 😂😂😂 شدراني بعد مو توني كنت ابجي عشان انا جيكره فربط مخي المواضيع 😅😅😂😫💔🔫… https://t.co/UzwmVY5bD9
3	857357330693935105	@joly_sr4 افا تدعي عليه إذا صارت صدك ولله خذني تندمي ع الدعوه ؟ 💔
