label	tweet_text
OTHER	RT @meshari_ebrahim: لا تحسب إنك عظيم وذات اهميّه أشياء واجد بهالدنيا أهم منك _ هذا وأنا تـوّني حبيتك ( شويّه ) وشلون لو (بالفعل ) مالي غنى…
GLF	RT @mem000_878: وش فيك تسألني إذا كنت غالي؟  غالي وتسوى من غلااتك عيوني   كل  ما تمر  ايامنا  والليالي  يزداد  حبك  بي ويكثر  جنوني https:/…
GLF	روان بن حسين مستحيل ما ادز شي بسناب  حتى لو ما عندها شي ادزه لازم ادز فيديوات و مادري شنو اهم شي انها ادز
OTHER	RT @QUJvdgD7tgzEDxU: مين فاضي يجي يحطه بشويش قبل ما يجو اهلي بسرهع https://t.co/gwNm8l2cYz
OTHER	أنا بحبه عشان ببطل انام اكتير وبصير انجز 😂😂 https://t.co/3oYj22dpyh
GLF	RT @Fahad_Alenze: ما نسيتك بالدعا والأرض جفاف، وشلون أبنساك والدنيا مطـر 💕
GLF	RT @eevOH4d9hRMtuaR: #فارس_البقمي_15k_محب  أطيب من الطيب واصل الطيب طيبك  مابك عذاريب ولا عاش منهو يعيبك..👌  #الف_مبروككك https://t.co/7rVA…
MSA 	حكمة غالية اهديها لك: من و جد الله فماذا فقد و من فقد الله فماذا وجد
GLF	شوفو والله ابوها كشخه وصغير احس واضحه الفلوس من وجهه اوميقاد ستايليييييي انا ممكن اسحب على جونقيوب عشانه ترا https://t.co/eeXUjVisW5
OTHER	ايدي على كسي لمسعبل و افركة بشويش و ادخل اصبعي بمكوتي ابي احد يريحني💔
OTHER	RT @sarah_voiceless: با خشم نابود میکنند، با نفرت میدرند،  من اما با عشق، توانا به کشتن ام تو بگو، من ویرانگر ترم یا آنان ؟
OTHER	RT @Nouralar_: O+ https://t.co/u1UKOHmYWG
GLF	جددوا القيادات دخلوا الشباب في كل المجالات خلوهم وزراء من غير خبرة ...لان الوزرا الحاليين خبرات شنو فايدتهم نبي اندفاع بالقرارات دماء جديدة
GLF	RT @yara_____775: بنت و بي رقه و لي قلب حسآس و آصير لآ جآت آللوآزيم ذيبــــه لكن طرف ثوبي لو شوي يندآس آدوس خشم آلي يدوسه وَ آجيبه.…
GLF	RT @BatolAshkanani: @anonaad شنو اللي مضايقج؟
GLF	@Capitan_Barca 😂بعضهم يتكلم ويسولف على الفلم اسبوع وشف شلون وكيف التصوير والاداء والمخرج شنو حجى وشنو قال
GLF	@SirKhalfan ما عليك ايسكو بيعوضكم وبيكسر خشم الريال
GLF	@x1liv_ حركة مبزره تسوي انفولو عشان سويت لك ! مالها دخل ترى هي تعتمد على المحتوى مو تابعني اتابعك
GLF	اتصبر ولا انا ماعاد ياسعني مكاني  كثر الله خير منهو لا لمح دمعي تصـدد .
GLF	انت الهواء وانت الهنا واغلى البشر ي غايتي وشلون قلبي يخسرك❤.
GLF	@Nli20i يالبى والله 
OTHER	RT @Nouralar_: Nothiiiing https://t.co/hm8n5wWQxP
GLF	RT @d0nya2: يازين اسمي لاتردد بصوته   اضيع ثم اضيع وأقول لبيه     #دنيا💜 https://t.co/6PhDo3UkBZ
GLF	@_salsabi_jabo_  ياجدك حنا #مازوزيات #مخابرات #تقرعيج #هبال 😂😂😂😂😂😂
GLF	RT @3ro8e_t7tweek: لا مرّ طيفك اضمّه حيل ف حضاني وشلون لو جيت عندي وشافتك عيني #قروب_راشد_للدعم  #قروب_واصل_للدعم
